HH_num,GenderHOH,AgeHOH,SizeHH,HHID,HH_ISO,HHType,Lang,Lang_P,Surname,Address,PostCode,Country,NationalityLP,NationalityNat,ISO_Travel,IATA_O,Behaviour_1,Behaviour_2,Behaviour_3
25,F,65,1,BWA_9,BWA,1B,af_ZA,af_ZA,Ferguson,"6060 James Islands
West Andrew, IN 73028",27991,BWA,af_ZA,BWA, ZAF,CDG,"['BCN', 'leisure', 'solo', 1]","['DUB', 'leisure', 'solo', 1]","['CIA', 'group', 'group', 0]"
26,M,40,1,BWA_10,BWA,1B,af_ZA,af_ZA,Cook,"2811 Amanda Expressway Apt. 023
South Paulview, AZ 21954",08257,BWA,af_ZA,BWA, MAR,AUH,"['SXF', 'business', 'business', 0]","['ZRH', 'group', 'group', 0]","['CDG', 'business', 'business', 0]"
27,F,42,1,BWA_11,BWA,1B,af_ZA,af_ZA,Vasquez,"11902 Summers Passage Apt. 486
Diazshire, OR 31317",22528,BWA,af_ZA,BWA, MAR,AUH,"['EMA', 'leisure', 'solo', 1]","['CGN', 'leisure', 'solo', 1]","['LPL', 'leisure', 'solo', 1]"
28,M,31,1,CHE_0,CHE,1B,fr_CH,fr_CH,Besse,"rue de Jacot-Descombes 6
9743 Fonjallaz am Albis",4178,CHE,fr_CH,CHE,CHE,CDG,"['TLL', 'leisure', 'solo', 1]","['BCN', 'group', 'group', 0]","['FAO', 'leisure', 'solo', 1]"
29,M,46,2,CMR_0,CMR,3AB,af_ZA,af_ZA,Roberts,"962 Nicholas Throughway
East Eric, AL 55195",76905,CMR,af_ZA,CMR, DZA,DXB,"['CDG', 'leisure', 'family', 2]","['ZRH', 'business', 'business', 0]","['FRA', 'leisure', 'family', 2]"
30,M,72,6,CMR_1,CMR,3AB,af_ZA,af_ZA,Carroll,"104 Jones Loaf
Port Ashleyton, MO 30335",46629,CMR,af_ZA,CMR, DZA,CDG,"['BUD', 'leisure', 'family', 6]","['LHR', 'business', 'business', 0]","['DME', 'leisure', 'family', 6]"
31,M,74,1,CMR_2,CMR,1B,af_ZA,af_ZA,Collins,"45732 Andrea Fords
Simsfort, CA 84064",49186,CMR,af_ZA,CMR, MAR,LHR,"['CDG', 'business', 'business', 0]","['LHR', 'leisure', 'solo', 1]","['BRI', 'leisure', 'solo', 1]"
32,M,27,6,CMR_3,CMR,2A,af_ZA,af_ZA,Sexton,"PSC 5731, Box 7840
APO AA 47713",87841,CMR,af_ZA,CMR, TUR,DXB,"['EIN', 'leisure', 'family', 6]","['DUS', 'leisure', 'family', 6]","['BGY', 'business', 'business', 0]"
33,M,48,5,CMR_4,CMR,3AB,af_ZA,af_ZA,Wise,"3606 Lawrence Lights Suite 309
Lake Brendaview, GU 30022",85983,CMR,af_ZA,CMR, MAR,CDG,"['STN', 'group', 'group', 0]","['DME', 'leisure', 'family', 5]","['LIS', 'leisure', 'family', 5]"
34,F,66,3,CMR_5,CMR,3AB,af_ZA,af_ZA,Colon,"91928 Edwards Ford
North Karen, SC 29456",04205,CMR,af_ZA,CMR, DZA,AUH,"['ORK', 'leisure', 'family', 3]","['LUX', 'leisure', 'family', 3]","['NUE', 'leisure', 'family', 3]"
35,F,42,3,CMR_6,CMR,2A,af_ZA,af_ZA,Garcia,"848 Dawn Stravenue
Jasonstad, NH 83424",63552,CMR,af_ZA,CMR, MAR,CDG,"['DUB', 'leisure', 'couple', 2]","['CDG', 'leisure', 'family', 3]","['DUB', 'leisure', 'couple', 2]"
36,M,38,3,CMR_7,CMR,2A,af_ZA,af_ZA,Bentley,"99694 Burch Fort
Lake Dariusside, SC 95887",85382,CMR,af_ZA,CMR, DZA,AUH,"['FAO', 'group', 'group', 0]","['LHR', 'leisure', 'family', 3]","['FRA', 'business', 'business', 0]"
37,M,48,3,CMR_8,CMR,2A,af_ZA,af_ZA,Bradley,"6903 Harris Station Apt. 554
West Derekview, IN 15193",12341,CMR,af_ZA,CMR, MAR,DXB,"['MAD', 'leisure', 'couple', 2]","['FRA', 'leisure', 'family', 3]","['TXL', 'leisure', 'couple', 2]"
38,M,55,1,CMR_9,CMR,1B,af_ZA,af_ZA,Tran,"4216 Teresa Shores
Jasonfurt, SD 11130",66852,CMR,af_ZA,CMR, TUR,DXB,"['SVO', 'leisure', 'solo', 1]","['MAN', 'leisure', 'solo', 1]","['ORY', 'leisure', 'solo', 1]"
39,F,72,3,CMR_10,CMR,3AB,af_ZA,af_ZA,Mayer,"681 Kristin Parks Apt. 256
Lake Michael, MP 30381",84828,CMR,af_ZA,CMR,SEN,CDG,"['MAN', 'group', 'group', 0]","['MAN', 'business', 'business', 0]","['LHR', 'business', 'business', 0]"
40,M,28,3,CMR_11,CMR,1A,af_ZA,af_ZA,Hicks,"22510 Renee Place Apt. 281
New Thomas, IL 65951",67767,CMR,af_ZA,CMR, TUR,LHR,"['ZRH', 'leisure', 'family', 3]","['LIS', 'leisure', 'family', 3]","['LHR', 'group', 'group', 0]"
41,F,72,1,CZE_0,CZE,1B,cz_CZ,cz_CZ,Tichý,"Horní Chaloupky 77
770 72 Mnichovice",667 23,CZE,cz_CZ,CZE,CZE,LHR,"['LHR', 'group', 'group', 0]","['DUS', 'leisure', 'solo', 1]","['HEL', 'leisure', 'solo', 1]"
42,M,69,1,DEU_0,DEU,1B,de_DE,de_DE,Zirme,"Hans-Karl-Bender-Ring 1/5
56716 Plauen",13746,DEU,de_DE,DEU,DEU,LHR,"['TPE', 'business', 'business', 0]","['CIA', 'business', 'business', 0]","['MAD', 'leisure', 'solo', 1]"
43,F,41,1,DEU_1,DEU,1B,de_DE,cn_ZH,Cuevas,"Dietzring 4
91463 Fallingbostel",49536,DEU,cn_ZH,IND,DEU,CDG,"['LGW', 'business', 'business', 0]","['LHR', 'leisure', 'solo', 1]","['HEL', 'leisure', 'solo', 1]"
44,M,33,2,DEU_2,DEU,1A,de_DE,de_DE,Stoll,"Claudio-Rogge-Straße 1/3
44715 Lübben",52304,DEU,de_DE,DEU,DEU,LHR,"['CDG', 'business', 'business', 0]","['OTP', 'leisure', 'family', 2]","['LHR', 'leisure', 'family', 2]"
45,M,35,5,DEU_3,DEU,2A,de_DE,de_DE,Hendriks,"Rudolphstraße 7
53079 Bremen",40661,DEU,de_DE,DEU,DEU,IST,"['FCO', 'leisure', 'couple', 2]","['EWR', 'leisure', 'family', 5]","['LHR', 'leisure', 'couple', 2]"
46,M,75,2,DEU_4,DEU,2B,de_DE,de_DE,Mitschke,"Kostolzinallee 59
94611 Cottbus",16218,DEU,de_DE,DEU,DEU,CDG,"['RIX', 'leisure', 'couple', 2]","['FAO', 'leisure', 'couple', 2]","['DEL', 'leisure', 'couple', 2]"
47,M,42,5,DEU_5,DEU,2A,de_DE,de_DE,Ditschlerin,"Lilija-Junck-Allee 4
10376 Bad Freienwalde",50077,DEU,de_DE,DEU,DEU,IST,"['MAD', 'leisure', 'couple', 2]","['ALG', 'group', 'group', 0]","['LHR', 'leisure', 'couple', 2]"
48,M,39,3,DEU_6,DEU,2A,de_DE,de_DE,Bender,"Hornichring 565
37202 Eisenhüttenstadt",44793,DEU,de_DE,DEU,DEU,DXB,"['KEF', 'leisure', 'couple', 2]","['AMS', 'business', 'business', 0]","['BLR', 'leisure', 'family', 3]"
49,M,27,2,DEU_7,DEU,2B,de_DE,de_AT,Hirsch,"Stadelmannring 612
55295 Eichstätt",85700,DEU,de_AT,LBN,DEU,LHR,"['VIE', 'business', 'business', 0]","['LHR', 'business', 'business', 0]","['LTN', 'leisure', 'couple', 2]"
50,M,56,3,DEU_8,DEU,3AB,de_DE,de_AT,Riedler,"Sven-Hentschel-Gasse 9/9
45377 Ribnitz-Damgarten",84548,DEU,de_AT,ECU,DEU,LHR,"['GVA', 'leisure', 'family', 3]","['VIE', 'leisure', 'family', 3]","['FCO', 'leisure', 'family', 3]"
51,M,34,7,DEU_9,DEU,2A,de_DE,de_DE,Wirth,"Burkhard-Hertrampf-Gasse 18
01645 Erbisdorf",40048,DEU,de_DE,DEU,DEU,LHR,"['BLR', 'leisure', 'family', 7]","['AMS', 'leisure', 'family', 7]","['FAO', 'leisure', 'family', 7]"
52,M,40,2,DEU_10,DEU,2B,de_DE,de_DE,Pohl,"Maurizio-Kade-Platz 1/7
57061 Wiedenbrück",42175,DEU,de_DE,DEU,DEU,CDG,"['AMS', 'leisure', 'couple', 2]","['VIE', 'leisure', 'couple', 2]","['PHX', 'leisure', 'couple', 2]"
53,M,43,1,DEU_11,DEU,1B,de_DE,de_DE,Gotthard,"Ljiljana-Oestrovsky-Weg 12
07117 Main-Höchst",89683,DEU,de_DE,DEU,DEU,AUH,"['AMS', 'leisure', 'solo', 1]","['BCN', 'business', 'business', 0]","['STN', 'leisure', 'solo', 1]"
54,F,78,1,DEU_12,DEU,1B,de_DE,de_DE,Tschentscher,"Marcella-Gunpf-Gasse 3/9
45165 Calau",92104,DEU,de_DE,DEU,DEU,CDG,"['CDG', 'leisure', 'solo', 1]","['MAD', 'group', 'group', 0]","['CDG', 'leisure', 'solo', 1]"
55,M,25,2,DEU_13,DEU,2B,de_DE,de_DE,Blümel,"Andrzej-Zorbach-Allee 0
76312 Merseburg",67259,DEU,de_DE,DEU,DEU,DXB,"['BGI', 'leisure', 'couple', 2]","['FCO', 'business', 'business', 0]","['IAD', 'leisure', 'couple', 2]"
56,M,45,1,DEU_14,DEU,1B,de_DE,sl_SI,Nemec,"Klaus-Dieter-Junck-Gasse 844
89758 Schlüchtern",60501,DEU,sl_SI,SVK,DEU,LHR,"['DEL', 'leisure', 'solo', 1]","['ZRH', 'leisure', 'solo', 1]","['ORY', 'leisure', 'solo', 1]"
57,M,43,8,DEU_15,DEU,2A,de_DE,de_AT,Rieger,"Ruststraße 0/8
27659 Olpe",09846,DEU,de_AT,TJK,DEU,DXB,"['LHR', 'leisure', 'family', 8]","['CDG', 'leisure', 'family', 8]","['LHR', 'business', 'business', 0]"
58,M,25,3,DJI_0,DJI,3AB,af_ZA,no_NO,Arnesen,"PSC 7850, Box 9217
APO AA 28671",97811,DJI,no_NO,NIC, MAR,IST,"['BUD', 'leisure', 'family', 3]","['MRS', 'group', 'group', 0]","['LIS', 'leisure', 'family', 3]"
59,M,76,3,DJI_1,DJI,3AB,af_ZA,af_ZA,Diaz,"601 Gordon Heights
West Vanessaberg, AR 60011",26839,DJI,af_ZA,DJI, TUR,AUH,"['GVA', 'leisure', 'family', 3]","['ATH', 'leisure', 'family', 3]","['LHR', 'business', 'business', 0]"
60,M,75,3,DJI_2,DJI,3AB,af_ZA,af_ZA,Castro,"758 Turner Camp Suite 825
Marcusborough, ND 73736",89664,DJI,af_ZA,DJI, MAR,CDG,"['ARN', 'group', 'group', 0]","['VKO', 'business', 'business', 0]","['FCO', 'leisure', 'family', 3]"
61,M,27,2,DJI_3,DJI,2B,af_ZA,af_ZA,Escobar,"PSC 6676, Box 8544
APO AE 58912",88450,DJI,af_ZA,DJI, TUR,AUH,"['OTP', 'leisure', 'couple', 2]","['MAD', 'business', 'business', 0]","['WAW', 'leisure', 'couple', 2]"
62,F,27,1,DJI_4,DJI,1B,af_ZA,af_ZA,Woodard,"5073 Smith Village Suite 480
Johnsonshire, WY 96267",09272,DJI,af_ZA,DJI, MAR,LHR,"['LHR', 'leisure', 'solo', 1]","['MAN', 'leisure', 'solo', 1]","['TXL', 'leisure', 'solo', 1]"
63,F,71,2,DJI_5,DJI,2B,af_ZA,cz_CZ,Holub,"24530 Wright Inlet
West Ruthborough, PR 89226",31780,DJI,cz_CZ,HTI, DZA,AUH,"['LGW', 'leisure', 'couple', 2]","['HAM', 'leisure', 'couple', 2]","['CGN', 'leisure', 'couple', 2]"
64,M,65,2,DJI_6,DJI,2B,af_ZA,af_ZA,Howell,"8284 Miller Square Suite 847
North Kristenbury, MO 56050",27614,DJI,af_ZA,DJI,SEN,LHR,"['LHR', 'business', 'business', 0]","['ZRH', 'leisure', 'couple', 2]","['TXL', 'leisure', 'couple', 2]"
65,M,55,3,DJI_7,DJI,3AB,af_ZA,cn_TW,Rogers,"25260 Simpson Causeway
Lake Maryfort, NJ 26727",37273,DJI,cn_TW,AZE, DZA,DXB,"['MAN', 'business', 'business', 0]","['STN', 'leisure', 'family', 3]","['MAN', 'leisure', 'family', 3]"
66,M,72,1,DJI_8,DJI,1B,af_ZA,af_ZA,Harrington,"08026 Daniel Expressway Suite 043
Johnsonfort, GU 20530",54726,DJI,af_ZA,DJI, DZA,CDG,"['HEL', 'leisure', 'solo', 1]","['SXF', 'business', 'business', 0]","['LIS', 'business', 'business', 0]"
67,M,59,5,DJI_9,DJI,3AB,af_ZA,af_ZA,Cameron,"4929 Lee Lodge
West Daniel, KS 00539",13546,DJI,af_ZA,DJI,SEN,LHR,"['LHR', 'leisure', 'family', 5]","['LTN', 'leisure', 'family', 5]","['CDG', 'leisure', 'family', 5]"
68,M,48,7,DJI_10,DJI,3AB,af_ZA,af_ZA,Johnson,"PSC 6788, Box 5468
APO AE 69116",14437,DJI,af_ZA,DJI, DZA,DXB,"['CDG', 'leisure', 'family', 7]","['VIE', 'group', 'group', 0]","['FRA', 'leisure', 'family', 7]"
69,F,32,1,DJI_11,DJI,1B,af_ZA,af_ZA,Barton,"59419 Hernandez Lake
East Thomaston, CO 82549",15046,DJI,af_ZA,DJI, DZA,IST,"['ARN', 'leisure', 'solo', 1]","['SEN', 'leisure', 'solo', 1]","['LGW', 'leisure', 'solo', 1]"
70,F,59,2,DNK_0,DNK,3AB,dk_DK,dk_DK,Joseph,"44064 Aaron Mall Suite 233
South Jonathanside, AL 72502",15708,DNK,dk_DK,DNK,DNK,LHR,"['LHR', 'leisure', 'family', 2]","['QPA', 'group', 'group', 0]","['MXP', 'leisure', 'family', 2]"
71,M,71,3,EGY_0,EGY,3AB,ar_SA,en_IN,Khanna,"68571 أريج Bridge Suite 907
East دعاءshire, MH 71577",99396,EGY,en_IN,POL, TUR,CDG,"['CPH', 'leisure', 'family', 3]","['GVA', 'group', 'group', 0]","['STN', 'business', 'business', 0]"
72,F,65,1,EGY_1,EGY,1B,ar_SA,ar_SA,المغاولة,"0319 روعة Shore
Lake نوحmouth, IN 89144",64128,EGY,ar_SA,EGY, DZA,DXB,"['HEL', 'leisure', 'solo', 1]","['BOD', 'leisure', 'solo', 1]","['CPH', 'leisure', 'solo', 1]"
73,M,41,2,EGY_2,EGY,3AB,ar_SA,ar_SA,المغاولة,"4080 مُتوكّل Meadow
Lake مصطفى, IN 93245",60965,EGY,ar_SA,EGY,MAR,LHR,"['DUS', 'leisure', 'family', 2]","['AMS', 'leisure', 'family', 2]","['FRA', 'leisure', 'family', 2]"
74,F,32,1,EGY_3,EGY,1B,ar_SA,no_NO,Brekke,"USNS الحكير
FPO AP 20315",55435,EGY,no_NO,MAC,MAR,CDG,"['LHR', 'leisure', 'solo', 1]","['OTP', 'leisure', 'solo', 1]","['CPH', 'leisure', 'solo', 1]"
75,M,40,2,EGY_4,EGY,3AB,ar_SA,af_ZA,Wagner,"142 نوّاف Square
جمال الدّينton, VI 89068",36092,EGY,af_ZA,KHM, TUR,DXB,"['BOD', 'business', 'business', 0]","['LHR', 'leisure', 'family', 2]","['LHR', 'leisure', 'family', 2]"
76,F,61,1,EGY_5,EGY,1B,ar_SA,ar_SA,آل عواض,"6830 بقشان Key Suite 576
West كاشفberg, PW 83704",02950,EGY,ar_SA,EGY,MAR,IST,"['MUC', 'leisure', 'solo', 1]","['FRA', 'group', 'group', 0]","['STR', 'leisure', 'solo', 1]"
77,M,51,3,EGY_6,EGY,2A,ar_SA,ar_SA,آل حسين,"94856 كانو Greens Suite 849
New عبد الرّزاق, KY 58321",35261,EGY,ar_SA,EGY, DZA,AUH,"['STN', 'leisure', 'family', 3]","['LGW', 'leisure', 'couple', 2]","['CDG', 'leisure', 'couple', 2]"
78,M,66,2,EGY_7,EGY,2B,ar_SA,ar_SA,الدباغ,"6751 هاجر River
North خطيب, MH 90395",05595,EGY,ar_SA,EGY, TUR,IST,"['CGN', 'leisure', 'couple', 2]","['ZRH', 'leisure', 'couple', 2]","['BHX', 'business', 'business', 0]"
79,M,75,1,EGY_8,EGY,1B,ar_SA,ar_SA,آل رفيع,"PSC 1978, Box 1008
APO AA 42893",95593,EGY,ar_SA,EGY, DZA,CDG,"['AMS', 'leisure', 'solo', 1]","['VIE', 'leisure', 'solo', 1]","['RIX', 'leisure', 'solo', 1]"
80,M,62,2,EGY_9,EGY,3AB,ar_SA,ar_SA,آل بن ظافر,"56117 راجح Drive
Port فدائي, SD 30174",02573,EGY,ar_SA,EGY, DZA,CDG,"['AMS', 'leisure', 'family', 2]","['BCN', 'group', 'group', 0]","['SVO', 'group', 'group', 0]"
81,F,44,1,EGY_10,EGY,1B,ar_SA,fi_FI,Heikkinen,"7206 حنبولي Viaduct Suite 221
Lake شعيبburgh, WI 68355",87417,EGY,fi_FI,ARG, TUR,AUH,"['MRS', 'leisure', 'solo', 1]","['AMS', 'leisure', 'solo', 1]","['LIN', 'leisure', 'solo', 1]"
82,F,47,3,EGY_11,EGY,2A,ar_SA,ar_SA,آل مقطة,"770 منيب Courts Apt. 715
فخر الدّينborough, AZ 19210",35799,EGY,ar_SA,EGY, DZA,AUH,"['DUB', 'leisure', 'family', 3]","['DUS', 'leisure', 'couple', 2]","['CDG', 'leisure', 'family', 3]"
83,M,62,2,ESP_0,ESP,2B,es_ES,es_ES,Carpio,"Plaza Zaida Machado 8 Piso 2 
Cádiz, 38370",49603,ESP,es_ES,ESP,ESP,LHR,"['LHR', 'leisure', 'couple', 2]","['OTP', 'leisure', 'couple', 2]","['SAW', 'leisure', 'couple', 2]"
84,F,29,5,ESP_1,ESP,3AB,es_ES,es_ES,Pérez,"Glorieta Marc Salvador 28 Piso 3 
Jaén, 26216",33117,ESP,es_ES,ESP,ESP,IST,"['LHR', 'leisure', 'family', 5]","['DOH', 'leisure', 'family', 5]","['LHR', 'group', 'group', 0]"
85,M,70,2,ESP_2,ESP,2B,es_ES,es_ES,Neira,"Alameda Hermenegildo Mora 18
Santa Cruz de Tenerife, 19458",19776,ESP,es_ES,ESP,ESP,IST,"['HEL', 'leisure', 'couple', 2]","['LTN', 'leisure', 'couple', 2]","['ZRH', 'group', 'group', 0]"
86,F,78,1,ESP_3,ESP,1B,es_ES,es_ES,Peláez,"Vial Arturo Lillo 99
Murcia, 32794",43758,ESP,es_ES,ESP,ESP,AUH,"['LIN', 'leisure', 'solo', 1]","['CDG', 'leisure', 'solo', 1]","['MUC', 'business', 'business', 0]"
87,F,52,1,ESP_4,ESP,1B,es_ES,es_ES,Casanova,"Calle Erasmo Tormo 78 Piso 2 
Soria, 34079",11642,ESP,es_ES,ESP,ESP,CDG,"['HEL', 'leisure', 'solo', 1]","['RIX', 'leisure', 'solo', 1]","['SXF', 'leisure', 'solo', 1]"
88,M,35,4,ESP_5,ESP,2A,es_ES,es_ES,Cabrera,"Acceso de Felipe Soler 13
Ávila, 22337",09973,ESP,es_ES,ESP,ESP,DXB,"['HEL', 'leisure', 'couple', 2]","['GVA', 'leisure', 'family', 4]","['SFO', 'leisure', 'couple', 2]"
89,M,36,5,ETH_0,ETH,2A,af_ZA,af_ZA,Munoz,"9183 Farley Lodge
Larsonville, ND 67741",92459,ETH,af_ZA,ETH,SEN,DXB,"['LHR', 'leisure', 'couple', 2]","['FRA', 'leisure', 'couple', 2]","['FCO', 'business', 'business', 0]"
90,M,46,6,ETH_1,ETH,2A,af_ZA,af_ZA,Beck,"915 Elizabeth Plaza Suite 286
Emilyside, NV 49977",79764,ETH,af_ZA,ETH, TUR,DXB,"['HEL', 'leisure', 'family', 6]","['ORY', 'business', 'business', 0]","['MUC', 'leisure', 'couple', 2]"
91,M,58,2,ETH_2,ETH,2B,af_ZA,af_ZA,Reed,"7119 Austin Place
South Emilystad, MP 20903",19185,ETH,af_ZA,ETH, DZA,DXB,"['CDG', 'leisure', 'couple', 2]","['DUB', 'leisure', 'couple', 2]","['LHR', 'leisure', 'couple', 2]"
92,M,72,2,ETH_3,ETH,3AB,af_ZA,af_ZA,Burch,"06248 Jonathan Junctions Suite 035
Hawkinsmouth, SC 07693",12320,ETH,af_ZA,ETH, DZA,AUH,"['DUS', 'group', 'group', 0]","['AMS', 'business', 'business', 0]","['CPH', 'business', 'business', 0]"
93,F,70,1,ETH_4,ETH,1B,af_ZA,af_ZA,Perez,"86412 Benitez Underpass Suite 267
South Markland, MP 51341",08540,ETH,af_ZA,ETH, TUR,AUH,"['DUS', 'leisure', 'solo', 1]","['AMS', 'leisure', 'solo', 1]","['MAD', 'business', 'business', 0]"
